code_module;code_presentation;id_student;gender;region;highest_education;imd_band;age_band;num_of_prev_attempts;studied_credits;disability;final_result
FFF;2014J;105939;M;North Region;A Level or Equivalent;70-80%;0-35;0;60;N;Pass
FFF;2014J;107455;M;Ireland;HE Qualification;50-60%;0-35;0;120;N;Fail
FFF;2014J;108949;M;North Western Region;Lower Than A Level;oct-20;0-35;2;60;N;Fail
FFF;2014J;109577;M;North Western Region;A Level or Equivalent;70-80%;0-35;0;120;N;Pass
FFF;2014J;109907;F;London Region;Lower Than A Level;50-60%;35-55;0;120;N;Withdrawn
FFF;2014J;110820;M;East Anglian Region;A Level or Equivalent;40-50%;0-35;0;60;Y;Withdrawn
FFF;2014J;113702;M;Ireland;A Level or Equivalent;60-70%;0-35;0;60;N;Withdrawn
FFF;2014J;116529;M;West Midlands Region;Lower Than A Level;30-40%;0-35;1;120;N;Fail
FFF;2014J;119310;M;North Western Region;Lower Than A Level;20-30%;0-35;0;150;N;Pass
FFF;2014J;119865;M;South West Region;A Level or Equivalent;30-40%;0-35;0;60;N;Distinction
FFF;2014J;125063;M;London Region;Lower Than A Level;60-70%;35-55;0;60;N;Fail
FFF;2014J;127179;M;South West Region;A Level or Equivalent;0-10%;0-35;0;60;N;Withdrawn
FFF;2014J;129907;M;East Anglian Region;HE Qualification;90-100%;35-55;0;60;N;Distinction
FFF;2014J;130409;M;South East Region;Lower Than A Level;20-30%;0-35;0;60;Y;Pass
FFF;2014J;131597;M;Scotland;A Level or Equivalent;40-50%;0-35;0;430;N;Pass
FFF;2014J;132423;M;London Region;A Level or Equivalent;40-50%;0-35;0;240;N;Withdrawn
FFF;2014J;132475;F;Scotland;HE Qualification;20-30%;0-35;0;60;N;Pass
FFF;2014J;135280;M;North Region;Lower Than A Level;;0-35;0;120;N;Distinction
FFF;2014J;136944;M;Scotland;A Level or Equivalent;40-50%;0-35;1;90;N;Pass
FFF;2014J;139206;M;Wales;Lower Than A Level;30-40%;0-35;0;60;N;Distinction
FFF;2014J;142310;M;Scotland;A Level or Equivalent;40-50%;0-35;0;180;N;Pass
FFF;2014J;143755;F;East Midlands Region;Lower Than A Level;50-60%;35-55;0;60;N;Pass
FFF;2014J;144959;M;Ireland;A Level or Equivalent;90-100%;0-35;1;90;N;Withdrawn
FFF;2014J;149178;M;London Region;A Level or Equivalent;0-10%;0-35;0;60;N;Pass
FFF;2014J;149964;M;East Anglian Region;Lower Than A Level;70-80%;0-35;0;240;N;Withdrawn
FFF;2014J;150282;M;Ireland;A Level or Equivalent;80-90%;0-35;0;60;N;Pass
FFF;2014J;152524;M;West Midlands Region;A Level or Equivalent;70-80%;35-55;0;120;N;Distinction
FFF;2014J;152917;M;North Western Region;A Level or Equivalent;20-30%;35-55;0;150;Y;Distinction
FFF;2014J;155938;M;South Region;A Level or Equivalent;;0-35;0;60;N;Pass
FFF;2014J;157225;M;South East Region;A Level or Equivalent;60-70%;35-55;0;150;N;Withdrawn
FFF;2014J;159906;M;East Midlands Region;Lower Than A Level;70-80%;35-55;0;60;N;Pass
FFF;2014J;159947;M;Wales;HE Qualification;oct-20;35-55;0;120;N;Fail
FFF;2014J;161837;M;South Region;A Level or Equivalent;80-90%;0-35;0;120;Y;Withdrawn
FFF;2014J;164148;F;North Region;A Level or Equivalent;oct-20;0-35;0;60;N;Pass
FFF;2014J;166123;M;East Anglian Region;Lower Than A Level;90-100%;0-35;0;60;N;Pass
FFF;2014J;166607;M;Scotland;A Level or Equivalent;oct-20;0-35;0;90;N;Withdrawn
FFF;2014J;169596;M;West Midlands Region;Lower Than A Level;80-90%;35-55;2;90;N;Fail
FFF;2014J;170874;M;North Region;A Level or Equivalent;20-30%;0-35;0;60;N;Pass
FFF;2014J;171692;F;Wales;A Level or Equivalent;0-10%;0-35;1;150;N;Withdrawn
FFF;2014J;172493;M;North Region;A Level or Equivalent;30-40%;0-35;0;90;N;Pass
FFF;2014J;173412;M;North Region;HE Qualification;20-30%;0-35;1;60;N;Withdrawn
FFF;2014J;177492;M;West Midlands Region;HE Qualification;oct-20;0-35;0;60;N;Distinction
FFF;2014J;184627;F;London Region;HE Qualification;0-10%;35-55;4;240;N;Withdrawn
FFF;2014J;184720;M;Wales;Lower Than A Level;oct-20;0-35;3;60;N;Fail
FFF;2014J;185994;M;East Anglian Region;A Level or Equivalent;20-30%;0-35;0;60;N;Pass
FFF;2014J;191504;M;Ireland;Lower Than A Level;oct-20;0-35;0;90;N;Withdrawn
FFF;2014J;194163;M;Yorkshire Region;Lower Than A Level;oct-20;0-35;0;90;N;Pass
FFF;2014J;195246;M;West Midlands Region;Lower Than A Level;oct-20;0-35;0;60;N;Fail
FFF;2014J;195552;M;Yorkshire Region;A Level or Equivalent;20-30%;0-35;1;120;N;Pass
FFF;2014J;197188;M;North Western Region;Lower Than A Level;0-10%;0-35;0;120;Y;Withdrawn
FFF;2014J;197536;F;Yorkshire Region;A Level or Equivalent;80-90%;0-35;0;90;N;Pass
FFF;2014J;199009;M;Scotland;Lower Than A Level;70-80%;0-35;0;90;N;Pass
FFF;2014J;204117;M;London Region;Lower Than A Level;70-80%;0-35;0;60;Y;Withdrawn
FFF;2014J;226955;M;East Midlands Region;A Level or Equivalent;40-50%;0-35;0;60;N;Fail
FFF;2014J;228633;M;West Midlands Region;Lower Than A Level;50-60%;0-35;0;110;N;Pass
FFF;2014J;229498;M;Scotland;A Level or Equivalent;0-10%;0-35;4;60;N;Pass
FFF;2014J;230656;M;North Region;Lower Than A Level;0-10%;0-35;0;240;N;Withdrawn
FFF;2014J;230947;M;North Western Region;Lower Than A Level;40-50%;0-35;0;90;N;Fail
FFF;2014J;231980;M;South East Region;A Level or Equivalent;40-50%;0-35;0;120;N;Withdrawn
FFF;2014J;232173;M;North Western Region;Lower Than A Level;30-40%;0-35;0;60;N;Pass
FFF;2014J;234031;M;Wales;Lower Than A Level;70-80%;0-35;0;60;N;Withdrawn
FFF;2014J;234661;M;South Region;Lower Than A Level;80-90%;0-35;1;60;N;Pass
FFF;2014J;235747;M;South West Region;A Level or Equivalent;50-60%;0-35;0;60;N;Withdrawn
FFF;2014J;235768;M;South West Region;A Level or Equivalent;60-70%;35-55;0;60;N;Pass
FFF;2014J;235971;M;West Midlands Region;A Level or Equivalent;oct-20;0-35;0;60;N;Pass
FFF;2014J;236090;F;East Anglian Region;Lower Than A Level;50-60%;0-35;0;180;N;Fail
FFF;2014J;237891;M;Scotland;A Level or Equivalent;50-60%;0-35;1;120;N;Pass
FFF;2014J;238301;M;North Western Region;Lower Than A Level;oct-20;0-35;0;240;N;Withdrawn
FFF;2014J;242636;M;West Midlands Region;A Level or Equivalent;40-50%;0-35;0;120;N;Fail
FFF;2014J;249357;M;North Region;Post Graduate Qualification;;35-55;0;60;N;Pass
FFF;2014J;251166;M;South West Region;A Level or Equivalent;50-60%;0-35;0;60;N;Fail
FFF;2014J;251397;M;London Region;HE Qualification;20-30%;35-55;0;120;N;Withdrawn
FFF;2014J;251916;M;South Region;Lower Than A Level;30-40%;0-35;0;120;N;Withdrawn
FFF;2014J;253633;M;South West Region;Lower Than A Level;30-40%;0-35;0;60;N;Pass
FFF;2014J;253763;M;Wales;A Level or Equivalent;20-30%;35-55;0;90;N;Distinction
FFF;2014J;258245;F;North Western Region;Lower Than A Level;0-10%;0-35;0;60;Y;Pass
FFF;2014J;258509;M;Scotland;HE Qualification;90-100%;0-35;0;90;N;Pass
FFF;2014J;258978;F;South Region;A Level or Equivalent;20-30%;0-35;1;60;N;Pass
FFF;2014J;260275;M;West Midlands Region;HE Qualification;30-40%;0-35;0;120;N;Withdrawn
FFF;2014J;261863;M;Scotland;Lower Than A Level;20-30%;0-35;0;120;N;Withdrawn
FFF;2014J;262025;F;Scotland;A Level or Equivalent;60-70%;35-55;0;60;N;Pass
FFF;2014J;262332;M;East Midlands Region;Lower Than A Level;40-50%;0-35;0;60;N;Withdrawn
FFF;2014J;262394;M;South Region;A Level or Equivalent;40-50%;0-35;0;60;N;Fail
FFF;2014J;263143;F;North Western Region;A Level or Equivalent;20-30%;0-35;0;60;N;Withdrawn
FFF;2014J;263862;M;West Midlands Region;A Level or Equivalent;90-100%;35-55;0;60;N;Distinction
FFF;2014J;264589;M;Scotland;A Level or Equivalent;50-60%;0-35;4;60;N;Fail
FFF;2014J;265497;M;North Western Region;HE Qualification;0-10%;0-35;0;60;N;Pass
FFF;2014J;268727;F;West Midlands Region;A Level or Equivalent;0-10%;0-35;0;120;N;Withdrawn
FFF;2014J;268823;M;Wales;No Formal quals;oct-20;0-35;0;60;N;Fail
FFF;2014J;269584;M;Scotland;A Level or Equivalent;40-50%;35-55;0;90;N;Pass
FFF;2014J;270421;F;West Midlands Region;A Level or Equivalent;40-50%;0-35;2;90;N;Pass
FFF;2014J;271702;M;West Midlands Region;Lower Than A Level;20-30%;0-35;2;120;N;Withdrawn
FFF;2014J;272704;M;East Midlands Region;Lower Than A Level;70-80%;0-35;0;60;N;Withdrawn
FFF;2014J;275127;M;Wales;A Level or Equivalent;80-90%;0-35;0;120;N;Withdrawn
FFF;2014J;276265;M;Scotland;A Level or Equivalent;80-90%;0-35;2;60;Y;Pass
FFF;2014J;276337;M;South Region;Lower Than A Level;90-100%;0-35;1;120;Y;Withdrawn
FFF;2014J;277384;M;London Region;Lower Than A Level;30-40%;0-35;0;120;N;Withdrawn
FFF;2014J;278380;M;North Region;Lower Than A Level;60-70%;0-35;0;60;N;Pass
FFF;2014J;279440;F;Scotland;HE Qualification;0-10%;0-35;0;60;N;Pass
FFF;2014J;279653;F;South Region;HE Qualification;90-100%;35-55;0;120;N;Distinction
FFF;2014J;279883;M;East Midlands Region;A Level or Equivalent;0-10%;0-35;0;180;N;Withdrawn
FFF;2014J;281134;F;Scotland;A Level or Equivalent;20-30%;0-35;0;90;N;Pass
FFF;2014J;281970;F;South East Region;Lower Than A Level;oct-20;0-35;0;120;N;Withdrawn
FFF;2014J;282849;M;North Western Region;A Level or Equivalent;0-10%;0-35;0;60;N;Pass
FFF;2014J;283402;M;London Region;HE Qualification;30-40%;0-35;0;60;N;Pass
FFF;2014J;286778;F;Wales;A Level or Equivalent;40-50%;0-35;0;60;N;Distinction
FFF;2014J;287079;M;London Region;HE Qualification;40-50%;35-55;2;60;N;Fail
FFF;2014J;287258;M;Scotland;A Level or Equivalent;60-70%;35-55;0;60;N;Pass
FFF;2014J;287715;M;East Midlands Region;Lower Than A Level;40-50%;0-35;0;60;N;Withdrawn
FFF;2014J;289179;M;East Midlands Region;A Level or Equivalent;20-30%;0-35;0;60;N;Withdrawn
FFF;2014J;289247;M;South Region;HE Qualification;80-90%;0-35;0;90;N;Distinction
FFF;2014J;289618;M;Wales;A Level or Equivalent;90-100%;35-55;1;60;N;Withdrawn
FFF;2014J;289676;M;Yorkshire Region;A Level or Equivalent;70-80%;35-55;1;60;N;Fail
FFF;2014J;294112;M;Scotland;A Level or Equivalent;40-50%;0-35;0;150;N;Fail
FFF;2014J;294219;F;North Western Region;A Level or Equivalent;30-40%;35-55;0;60;N;Distinction
FFF;2014J;294920;M;Scotland;Post Graduate Qualification;20-30%;35-55;0;60;N;Withdrawn
FFF;2014J;294929;M;North Western Region;A Level or Equivalent;50-60%;35-55;0;90;N;Pass
FFF;2014J;295893;M;East Midlands Region;A Level or Equivalent;oct-20;0-35;0;60;Y;Fail
FFF;2014J;297218;M;Yorkshire Region;A Level or Equivalent;60-70%;0-35;0;210;N;Pass
FFF;2014J;297341;F;East Midlands Region;A Level or Equivalent;oct-20;0-35;0;120;Y;Pass
FFF;2014J;300848;M;East Midlands Region;Lower Than A Level;oct-20;0-35;0;240;N;Withdrawn
FFF;2014J;301074;M;South Region;Lower Than A Level;20-30%;0-35;1;120;N;Pass
FFF;2014J;301561;M;South West Region;Lower Than A Level;30-40%;0-35;1;60;N;Withdrawn
FFF;2014J;305064;M;South Region;Lower Than A Level;20-30%;0-35;0;180;N;Pass
FFF;2014J;305659;M;South East Region;A Level or Equivalent;80-90%;0-35;0;90;N;Distinction
FFF;2014J;310205;M;South West Region;Lower Than A Level;40-50%;0-35;1;60;N;Fail
FFF;2014J;312126;M;East Anglian Region;Lower Than A Level;60-70%;0-35;0;60;N;Withdrawn
FFF;2014J;312231;M;East Midlands Region;HE Qualification;30-40%;0-35;0;60;N;Pass
FFF;2014J;312960;M;East Anglian Region;HE Qualification;80-90%;0-35;0;120;N;Pass
FFF;2014J;315795;M;South Region;Lower Than A Level;70-80%;0-35;0;60;N;Pass
FFF;2014J;316061;M;North Western Region;Lower Than A Level;0-10%;0-35;2;60;Y;Withdrawn
FFF;2014J;316082;M;East Anglian Region;A Level or Equivalent;20-30%;0-35;0;60;N;Distinction
FFF;2014J;318139;M;Yorkshire Region;A Level or Equivalent;50-60%;0-35;0;120;N;Withdrawn
FFF;2014J;318147;M;East Anglian Region;Lower Than A Level;50-60%;0-35;0;60;N;Pass
FFF;2014J;318289;M;Scotland;A Level or Equivalent;20-30%;0-35;2;60;Y;Withdrawn
FFF;2014J;319073;F;Ireland;A Level or Equivalent;50-60%;0-35;0;120;N;Pass
FFF;2014J;319461;M;West Midlands Region;Lower Than A Level;oct-20;35-55;0;90;N;Withdrawn
FFF;2014J;320133;F;South Region;A Level or Equivalent;oct-20;0-35;0;90;N;Distinction
FFF;2014J;320612;M;East Midlands Region;HE Qualification;80-90%;35-55;0;60;N;Distinction
FFF;2014J;322499;M;Scotland;A Level or Equivalent;90-100%;0-35;0;120;N;Withdrawn
FFF;2014J;324331;M;North Western Region;Lower Than A Level;70-80%;35-55;1;60;N;Fail
FFF;2014J;325750;M;Scotland;HE Qualification;oct-20;35-55;2;120;N;Pass
FFF;2014J;327664;F;South East Region;Lower Than A Level;60-70%;0-35;1;120;N;Withdrawn
FFF;2014J;328377;M;West Midlands Region;A Level or Equivalent;60-70%;35-55;1;120;N;Withdrawn
FFF;2014J;328797;M;Scotland;HE Qualification;70-80%;35-55;1;60;N;Fail
FFF;2014J;329095;M;Ireland;Lower Than A Level;30-40%;0-35;0;60;N;Withdrawn
FFF;2014J;329895;M;East Anglian Region;A Level or Equivalent;50-60%;35-55;3;60;N;Pass
FFF;2014J;331789;M;South East Region;Lower Than A Level;60-70%;0-35;0;60;N;Pass
FFF;2014J;332237;M;South Region;HE Qualification;90-100%;0-35;1;60;N;Fail
FFF;2014J;332676;M;East Anglian Region;Lower Than A Level;50-60%;0-35;1;60;Y;Withdrawn
FFF;2014J;333993;M;North Western Region;A Level or Equivalent;20-30%;0-35;0;60;N;Pass
FFF;2014J;334224;M;North Western Region;Lower Than A Level;0-10%;0-35;2;60;Y;Withdrawn
FFF;2014J;335095;M;South West Region;A Level or Equivalent;80-90%;0-35;1;120;N;Pass
FFF;2014J;337000;M;South West Region;Lower Than A Level;oct-20;35-55;0;60;N;Pass
FFF;2014J;338689;M;West Midlands Region;HE Qualification;0-10%;0-35;0;150;N;Pass
FFF;2014J;338806;M;North Region;Lower Than A Level;70-80%;0-35;3;120;N;Pass
FFF;2014J;339519;M;South East Region;Lower Than A Level;40-50%;0-35;0;120;N;Pass
FFF;2014J;340831;M;West Midlands Region;A Level or Equivalent;30-40%;35-55;0;120;N;Withdrawn
FFF;2014J;341093;M;South West Region;A Level or Equivalent;oct-20;0-35;2;120;N;Fail
FFF;2014J;341457;F;Scotland;HE Qualification;0-10%;0-35;0;60;N;Withdrawn
FFF;2014J;341629;M;Wales;HE Qualification;oct-20;0-35;0;150;N;Fail
FFF;2014J;343709;M;North Western Region;Lower Than A Level;oct-20;0-35;0;60;N;Pass
FFF;2014J;345271;M;North Region;A Level or Equivalent;30-40%;35-55;1;60;N;Distinction
FFF;2014J;347197;M;North Western Region;Lower Than A Level;80-90%;35-55;0;60;N;Distinction
FFF;2014J;348108;M;Scotland;A Level or Equivalent;50-60%;0-35;1;120;N;Pass
FFF;2014J;348324;M;South West Region;Lower Than A Level;30-40%;35-55;0;60;N;Pass
FFF;2014J;348906;M;Scotland;Lower Than A Level;0-10%;0-35;0;60;N;Withdrawn
FFF;2014J;349515;M;South Region;Lower Than A Level;30-40%;0-35;0;60;N;Pass
FFF;2014J;349777;M;East Anglian Region;A Level or Equivalent;80-90%;0-35;0;90;N;Withdrawn
FFF;2014J;351147;M;Scotland;HE Qualification;40-50%;0-35;0;60;N;Pass
FFF;2014J;351293;M;Wales;A Level or Equivalent;oct-20;0-35;2;60;N;Withdrawn
FFF;2014J;354698;M;North Region;Lower Than A Level;;35-55;2;90;N;Pass
FFF;2014J;354713;M;North Region;A Level or Equivalent;30-40%;0-35;0;60;N;Fail
FFF;2014J;355293;M;East Midlands Region;Lower Than A Level;30-40%;0-35;2;60;N;Pass
FFF;2014J;357851;M;East Anglian Region;Lower Than A Level;50-60%;0-35;2;120;Y;Fail
FFF;2014J;360278;M;East Midlands Region;Lower Than A Level;30-40%;35-55;0;60;N;Withdrawn
FFF;2014J;360752;M;South East Region;Lower Than A Level;80-90%;0-35;0;60;N;Withdrawn
FFF;2014J;364066;M;London Region;Lower Than A Level;30-40%;0-35;2;150;N;Distinction
FFF;2014J;366140;M;Yorkshire Region;Lower Than A Level;90-100%;0-35;0;60;N;Pass
FFF;2014J;367151;M;East Anglian Region;A Level or Equivalent;60-70%;0-35;0;60;N;Withdrawn
FFF;2014J;368389;M;North Western Region;Lower Than A Level;40-50%;0-35;0;60;N;Withdrawn
FFF;2014J;369242;M;South East Region;A Level or Equivalent;40-50%;0-35;0;150;N;Pass
FFF;2014J;369450;M;South East Region;Lower Than A Level;40-50%;35-55;0;60;N;Pass
FFF;2014J;369644;F;Yorkshire Region;Lower Than A Level;oct-20;0-35;0;150;N;Withdrawn
FFF;2014J;370735;M;South Region;Lower Than A Level;90-100%;0-35;0;60;N;Pass
FFF;2014J;372345;M;South West Region;A Level or Equivalent;70-80%;0-35;0;60;N;Pass
FFF;2014J;372509;M;South Region;A Level or Equivalent;70-80%;0-35;0;60;N;Pass
FFF;2014J;372511;M;North Region;HE Qualification;;0-35;0;150;N;Pass
FFF;2014J;374353;F;Yorkshire Region;Lower Than A Level;0-10%;35-55;0;150;N;Withdrawn
FFF;2014J;375527;M;South Region;A Level or Equivalent;30-40%;0-35;0;120;N;Pass
FFF;2014J;375993;F;East Midlands Region;Lower Than A Level;30-40%;0-35;1;60;N;Withdrawn
FFF;2014J;378705;M;Yorkshire Region;Lower Than A Level;0-10%;35-55;0;60;N;Fail
FFF;2014J;378946;M;South East Region;Lower Than A Level;40-50%;35-55;0;60;N;Pass
FFF;2014J;379278;M;Scotland;HE Qualification;40-50%;0-35;0;60;N;Fail
FFF;2014J;379311;M;South East Region;Lower Than A Level;80-90%;0-35;1;120;N;Fail
FFF;2014J;379563;M;South West Region;A Level or Equivalent;60-70%;0-35;0;60;N;Withdrawn
FFF;2014J;380952;F;South East Region;Lower Than A Level;70-80%;0-35;0;60;N;Pass
FFF;2014J;381257;F;Scotland;A Level or Equivalent;40-50%;0-35;0;60;N;Pass
FFF;2014J;381414;M;South East Region;Lower Than A Level;60-70%;35-55;2;60;N;Pass
FFF;2014J;381428;M;West Midlands Region;Lower Than A Level;oct-20;0-35;0;120;Y;Withdrawn
FFF;2014J;381528;F;London Region;Lower Than A Level;0-10%;0-35;0;60;N;Withdrawn
FFF;2014J;381529;M;South West Region;A Level or Equivalent;oct-20;0-35;0;60;N;Withdrawn
FFF;2014J;383445;M;North Western Region;A Level or Equivalent;0-10%;0-35;0;60;Y;Fail
FFF;2014J;383602;F;South Region;Lower Than A Level;80-90%;0-35;0;120;N;Pass
FFF;2014J;383629;M;West Midlands Region;Lower Than A Level;70-80%;0-35;2;60;N;Pass
FFF;2014J;384107;M;Yorkshire Region;Lower Than A Level;70-80%;0-35;0;60;N;Fail
FFF;2014J;384331;M;South Region;A Level or Equivalent;70-80%;35-55;0;60;N;Withdrawn
FFF;2014J;386121;M;London Region;Lower Than A Level;0-10%;0-35;0;180;N;Withdrawn
FFF;2014J;386389;M;North Region;Lower Than A Level;oct-20;35-55;1;120;N;Pass
FFF;2014J;386956;F;Wales;Lower Than A Level;oct-20;35-55;1;60;Y;Withdrawn
FFF;2014J;389853;M;North Western Region;A Level or Equivalent;70-80%;0-35;1;60;N;Withdrawn
FFF;2014J;390070;M;North Region;A Level or Equivalent;30-40%;35-55;0;60;N;Fail
FFF;2014J;393141;M;East Midlands Region;Lower Than A Level;40-50%;0-35;0;90;Y;Fail
FFF;2014J;395758;M;North Region;HE Qualification;oct-20;0-35;1;60;N;Withdrawn
FFF;2014J;396136;M;East Midlands Region;Lower Than A Level;0-10%;0-35;0;120;N;Withdrawn
FFF;2014J;396683;M;Scotland;HE Qualification;20-30%;0-35;0;120;N;Pass
FFF;2014J;396834;M;South East Region;A Level or Equivalent;50-60%;0-35;0;240;N;Pass
FFF;2014J;396907;M;London Region;Lower Than A Level;70-80%;0-35;1;60;N;Fail
FFF;2014J;397219;M;Scotland;HE Qualification;20-30%;0-35;0;60;N;Distinction
FFF;2014J;397292;F;North Western Region;Lower Than A Level;0-10%;0-35;1;60;N;Fail
FFF;2014J;397671;F;East Anglian Region;Lower Than A Level;70-80%;35-55;0;90;N;Distinction
FFF;2014J;398550;M;West Midlands Region;A Level or Equivalent;30-40%;0-35;2;90;N;Distinction
FFF;2014J;398630;M;East Anglian Region;Lower Than A Level;70-80%;35-55;0;60;N;Pass
FFF;2014J;399429;F;East Midlands Region;A Level or Equivalent;60-70%;0-35;1;60;N;Distinction
FFF;2014J;402695;M;East Midlands Region;Lower Than A Level;40-50%;35-55;2;90;N;Pass
FFF;2014J;405193;F;East Midlands Region;A Level or Equivalent;80-90%;35-55;1;60;N;Pass
FFF;2014J;407232;M;Ireland;A Level or Equivalent;30-40%;0-35;0;180;N;Pass
FFF;2014J;408499;F;East Anglian Region;A Level or Equivalent;90-100%;35-55;0;120;Y;Withdrawn
FFF;2014J;408872;M;Wales;Lower Than A Level;oct-20;0-35;0;60;Y;Withdrawn
FFF;2014J;410407;M;South Region;HE Qualification;90-100%;35-55;0;60;N;Distinction
FFF;2014J;410883;M;South West Region;Lower Than A Level;70-80%;0-35;0;60;N;Pass
FFF;2014J;411304;F;West Midlands Region;A Level or Equivalent;0-10%;0-35;0;60;N;Pass
FFF;2014J;411688;M;London Region;A Level or Equivalent;80-90%;0-35;2;60;N;Fail
FFF;2014J;412353;M;West Midlands Region;A Level or Equivalent;60-70%;55<=;0;60;N;Pass
FFF;2014J;413180;M;London Region;A Level or Equivalent;60-70%;0-35;1;120;N;Pass
FFF;2014J;413709;M;Ireland;A Level or Equivalent;80-90%;0-35;2;120;N;Pass
FFF;2014J;413949;F;Scotland;Lower Than A Level;oct-20;0-35;0;60;Y;Pass
FFF;2014J;416199;M;West Midlands Region;Lower Than A Level;oct-20;0-35;1;60;N;Pass
FFF;2014J;416407;M;North Region;Lower Than A Level;;35-55;1;60;N;Pass
FFF;2014J;416426;M;East Anglian Region;HE Qualification;oct-20;0-35;1;90;N;Withdrawn
FFF;2014J;418201;M;West Midlands Region;A Level or Equivalent;0-10%;0-35;0;60;N;Fail
FFF;2014J;418486;M;London Region;Lower Than A Level;oct-20;0-35;2;240;N;Withdrawn
FFF;2014J;419059;M;West Midlands Region;Lower Than A Level;0-10%;0-35;0;60;N;Distinction
FFF;2014J;419081;F;North Western Region;A Level or Equivalent;0-10%;0-35;0;90;N;Fail
FFF;2014J;420834;M;Scotland;HE Qualification;50-60%;0-35;0;60;N;Withdrawn
FFF;2014J;421070;F;Scotland;HE Qualification;50-60%;35-55;1;90;N;Withdrawn
FFF;2014J;423210;M;Scotland;A Level or Equivalent;oct-20;0-35;0;60;N;Pass
FFF;2014J;423488;M;Wales;Lower Than A Level;50-60%;0-35;0;60;N;Fail
FFF;2014J;423781;M;South West Region;A Level or Equivalent;90-100%;0-35;0;90;N;Pass
