id_site;code_module;code_presentation;activity_type;week_from;week_to
883282;FFF;2014J;url;0;0
882699;FFF;2014J;page;0;0
883151;FFF;2014J;oucollaborate;0;0
882547;FFF;2014J;forumng;0;0
882905;FFF;2014J;resource;0;0
883183;FFF;2014J;url;1;1
882585;FFF;2014J;oucontent;0;0
882969;FFF;2014J;resource;29;29
883215;FFF;2014J;url;21;21
882622;FFF;2014J;oucontent;28;28
883027;FFF;2014J;resource;0;0
883248;FFF;2014J;url;28;28
882658;FFF;2014J;oucontent;9;9
883069;FFF;2014J;subpage;0;0
882687;FFF;2014J;page;28;28
883148;FFF;2014J;oucollaborate;0;0
882902;FFF;2014J;resource;0;0
883180;FFF;2014J;url;18;18
882581;FFF;2014J;oucontent;7;7
882956;FFF;2014J;resource;0;0
883212;FFF;2014J;url;21;21
882619;FFF;2014J;oucontent;0;0
883024;FFF;2014J;resource;0;0
883245;FFF;2014J;url;27;27
882655;FFF;2014J;oucontent;15;15
883066;FFF;2014J;subpage;0;0
883279;FFF;2014J;url;0;0
882684;FFF;2014J;page;12;12
883144;FFF;2014J;htmlactivity;0;0
1072239;FFF;2014J;forumng;0;0
882896;FFF;2014J;resource;0;0
883177;FFF;2014J;url;1;1
882578;FFF;2014J;oucontent;26;26
882952;FFF;2014J;resource;18;18
883209;FFF;2014J;url;0;0
882616;FFF;2014J;oucontent;0;0
883017;FFF;2014J;resource;13;13
883242;FFF;2014J;url;27;27
882652;FFF;2014J;oucontent;15;15
883063;FFF;2014J;subpage;0;0
883276;FFF;2014J;url;18;18
882681;FFF;2014J;quiz;10;10
883102;FFF;2014J;repeatactivity;0;0
973777;FFF;2014J;oucontent;0;0
882724;FFF;2014J;questionnaire;5;5
883174;FFF;2014J;url;18;18
882574;FFF;2014J;oucontent;0;0
882948;FFF;2014J;resource;0;0
883206;FFF;2014J;url;21;21
882609;FFF;2014J;oucontent;0;0
883000;FFF;2014J;resource;0;0
883239;FFF;2014J;url;26;26
882649;FFF;2014J;oucontent;9;9
883060;FFF;2014J;subpage;0;0
883273;FFF;2014J;url;11;11
882678;FFF;2014J;quiz;10;10
883091;FFF;2014J;subpage;28;28
937371;FFF;2014J;oucontent;0;0
882721;FFF;2014J;questionnaire;20;20
883171;FFF;2014J;url;18;18
882570;FFF;2014J;oucontent;16;16
882945;FFF;2014J;resource;0;0
883203;FFF;2014J;url;20;20
882606;FFF;2014J;oucontent;11;11
882995;FFF;2014J;resource;0;0
883236;FFF;2014J;url;24;24
882646;FFF;2014J;oucontent;8;8
883057;FFF;2014J;subpage;23;23
883270;FFF;2014J;url;10;10
882675;FFF;2014J;quiz;0;0
883088;FFF;2014J;subpage;8;8
883303;FFF;2014J;dataplus;0;0
882718;FFF;2014J;questionnaire;24;24
883168;FFF;2014J;url;16;16
882566;FFF;2014J;oucontent;9;9
882941;FFF;2014J;resource;0;0
883200;FFF;2014J;url;20;20
882602;FFF;2014J;oucontent;2;2
882990;FFF;2014J;resource;0;0
883233;FFF;2014J;url;1;1
882643;FFF;2014J;oucontent;0;0
883054;FFF;2014J;subpage;21;21
883266;FFF;2014J;url;0;0
883084;FFF;2014J;subpage;10;10
883299;FFF;2014J;dualpane;0;0
882715;FFF;2014J;questionnaire;23;23
883165;FFF;2014J;url;14;14
882563;FFF;2014J;oucontent;11;11
882936;FFF;2014J;resource;28;28
883197;FFF;2014J;url;20;20
882599;FFF;2014J;oucontent;29;29
882987;FFF;2014J;resource;18;18
883230;FFF;2014J;url;23;23
882638;FFF;2014J;oucontent;0;0
883050;FFF;2014J;subpage;13;13
883263;FFF;2014J;url;29;29
882672;FFF;2014J;oucontent;8;8
883081;FFF;2014J;subpage;5;5
883293;FFF;2014J;url;0;0
882712;FFF;2014J;questionnaire;19;19
883162;FFF;2014J;url;0;0
882560;FFF;2014J;oucontent;8;8
882931;FFF;2014J;resource;0;0
883194;FFF;2014J;url;3;3
882596;FFF;2014J;oucontent;13;13
882984;FFF;2014J;resource;0;0
883227;FFF;2014J;url;23;23
882634;FFF;2014J;oucontent;27;27
883047;FFF;2014J;subpage;11;11
883260;FFF;2014J;url;29;29
882669;FFF;2014J;oucontent;1;1
883077;FFF;2014J;subpage;27;27
883290;FFF;2014J;url;0;0
882709;FFF;2014J;page;12;12
883159;FFF;2014J;oucollaborate;0;0
882556;FFF;2014J;ouwiki;0;0
882924;FFF;2014J;resource;0;0
883191;FFF;2014J;url;3;3
882593;FFF;2014J;oucontent;29;29
882981;FFF;2014J;resource;0;0
883223;FFF;2014J;url;22;22
882631;FFF;2014J;oucontent;15;15
883043;FFF;2014J;subpage;4;4
883256;FFF;2014J;url;0;0
882666;FFF;2014J;oucontent;15;15
883074;FFF;2014J;subpage;0;0
883287;FFF;2014J;url;0;0
882706;FFF;2014J;page;0;0
883156;FFF;2014J;oucollaborate;0;0
882553;FFF;2014J;ouwiki;0;0
882914;FFF;2014J;resource;0;0
882921;FFF;2014J;resource;0;0
883188;FFF;2014J;url;18;18
882590;FFF;2014J;oucontent;15;15
882976;FFF;2014J;resource;0;0
883220;FFF;2014J;url;22;22
882628;FFF;2014J;oucontent;22;22
883040;FFF;2014J;subpage;1;1
883253;FFF;2014J;url;28;28
882663;FFF;2014J;oucontent;1;1
883284;FFF;2014J;url;0;0
882703;FFF;2014J;page;0;0
883153;FFF;2014J;oucollaborate;0;0
882550;FFF;2014J;forumng;0;0
882911;FFF;2014J;resource;0;0
882917;FFF;2014J;resource;0;0
883185;FFF;2014J;url;18;18
882587;FFF;2014J;oucontent;29;29
882971;FFF;2014J;resource;0;0
883217;FFF;2014J;url;22;22
882624;FFF;2014J;oucontent;16;16
883036;FFF;2014J;subpage;0;0
883250;FFF;2014J;url;28;28
882660;FFF;2014J;oucontent;11;11
883071;FFF;2014J;subpage;0;0
883281;FFF;2014J;url;0;0
882689;FFF;2014J;page;0;0
883150;FFF;2014J;oucollaborate;0;0
882545;FFF;2014J;forumng;0;0
882904;FFF;2014J;resource;0;0
883182;FFF;2014J;url;1;1
882584;FFF;2014J;oucontent;21;21
882966;FFF;2014J;resource;0;0
883214;FFF;2014J;url;21;21
882621;FFF;2014J;oucontent;8;8
883026;FFF;2014J;resource;0;0
883247;FFF;2014J;url;0;0
882657;FFF;2014J;oucontent;15;15
883068;FFF;2014J;subpage;0;0
882686;FFF;2014J;page;28;28
883147;FFF;2014J;oucollaborate;0;0
882900;FFF;2014J;resource;0;0
883179;FFF;2014J;url;18;18
882580;FFF;2014J;oucontent;0;0
882955;FFF;2014J;resource;18;18
883211;FFF;2014J;url;21;21
882618;FFF;2014J;oucontent;0;0
883023;FFF;2014J;resource;0;0
883244;FFF;2014J;url;9;9
882654;FFF;2014J;oucontent;0;0
883065;FFF;2014J;subpage;0;0
883278;FFF;2014J;url;12;12
882683;FFF;2014J;quiz;0;0
883143;FFF;2014J;htmlactivity;0;0
1011388;FFF;2014J;forumng;0;0
882894;FFF;2014J;resource;0;0
883176;FFF;2014J;url;18;18
882577;FFF;2014J;oucontent;5;5
882951;FFF;2014J;resource;0;0
883208;FFF;2014J;url;21;21
882611;FFF;2014J;oucontent;20;20
883016;FFF;2014J;resource;0;0
883241;FFF;2014J;url;27;27
882651;FFF;2014J;oucontent;11;11
883062;FFF;2014J;subpage;0;0
883275;FFF;2014J;url;0;0
882680;FFF;2014J;quiz;10;10
883099;FFF;2014J;repeatactivity;1;1
941543;FFF;2014J;oucontent;0;0
882723;FFF;2014J;questionnaire;5;5
883173;FFF;2014J;url;1;1
882573;FFF;2014J;oucontent;3;3
882947;FFF;2014J;resource;11;11
883205;FFF;2014J;url;21;21
882608;FFF;2014J;oucontent;19;19
882998;FFF;2014J;resource;0;0
883238;FFF;2014J;url;26;26
882648;FFF;2014J;oucontent;9;9
883059;FFF;2014J;subpage;29;29
883272;FFF;2014J;url;11;11
882677;FFF;2014J;quiz;10;10
883090;FFF;2014J;subpage;24;24
883306;FFF;2014J;dataplus;0;0
882720;FFF;2014J;questionnaire;28;28
883170;FFF;2014J;url;18;18
882569;FFF;2014J;oucontent;8;8
882943;FFF;2014J;resource;28;28
883202;FFF;2014J;url;20;20
882605;FFF;2014J;oucontent;21;21
882993;FFF;2014J;resource;0;0
883235;FFF;2014J;url;23;23
882645;FFF;2014J;oucontent;9;9
883056;FFF;2014J;subpage;22;22
883269;FFF;2014J;url;10;10
883087;FFF;2014J;subpage;16;16
883302;FFF;2014J;dataplus;0;0
882717;FFF;2014J;questionnaire;24;24
883167;FFF;2014J;url;15;15
882565;FFF;2014J;oucontent;23;23
882940;FFF;2014J;resource;0;0
883199;FFF;2014J;url;20;20
882601;FFF;2014J;oucontent;16;16
882989;FFF;2014J;resource;18;18
883232;FFF;2014J;url;23;23
882642;FFF;2014J;oucontent;0;0
883053;FFF;2014J;subpage;20;20
883265;FFF;2014J;url;29;29
882674;FFF;2014J;quiz;0;0
883083;FFF;2014J;subpage;0;0
883295;FFF;2014J;dualpane;5;5
882714;FFF;2014J;questionnaire;20;20
883164;FFF;2014J;url;14;14
882562;FFF;2014J;oucontent;9;9
882935;FFF;2014J;resource;0;0
883196;FFF;2014J;url;18;18
882598;FFF;2014J;oucontent;15;15
882986;FFF;2014J;resource;0;0
883229;FFF;2014J;url;23;23
882636;FFF;2014J;oucontent;26;26
883049;FFF;2014J;subpage;12;12
883262;FFF;2014J;url;29;29
882671;FFF;2014J;oucontent;11;11
883080;FFF;2014J;subpage;0;0
883292;FFF;2014J;url;0;0
882711;FFF;2014J;questionnaire;19;19
883161;FFF;2014J;url;0;0
882559;FFF;2014J;ouwiki;19;19
882926;FFF;2014J;resource;0;0
883193;FFF;2014J;url;18;18
882595;FFF;2014J;oucontent;29;29
882983;FFF;2014J;resource;0;0
883226;FFF;2014J;url;23;23
882633;FFF;2014J;oucontent;1;1
883046;FFF;2014J;subpage;18;18
883259;FFF;2014J;url;0;0
882668;FFF;2014J;oucontent;10;10
883076;FFF;2014J;subpage;0;0
883289;FFF;2014J;url;0;0
882708;FFF;2014J;page;0;0
883158;FFF;2014J;oucollaborate;0;0
882555;FFF;2014J;ouwiki;26;26
882916;FFF;2014J;resource;0;0
882923;FFF;2014J;resource;0;0
883190;FFF;2014J;url;18;18
882592;FFF;2014J;oucontent;12;12
882980;FFF;2014J;resource;0;0
883222;FFF;2014J;url;0;0
882630;FFF;2014J;oucontent;15;15
883042;FFF;2014J;subpage;3;3
883255;FFF;2014J;url;28;28
882665;FFF;2014J;oucontent;1;1
883073;FFF;2014J;subpage;19;19
883286;FFF;2014J;url;0;0
882705;FFF;2014J;page;12;12
883155;FFF;2014J;oucollaborate;0;0
882552;FFF;2014J;glossary;0;0
882913;FFF;2014J;resource;0;0
882920;FFF;2014J;resource;0;0
883187;FFF;2014J;url;18;18
882589;FFF;2014J;oucontent;29;29
882975;FFF;2014J;resource;0;0
883219;FFF;2014J;url;22;22
882626;FFF;2014J;oucontent;0;0
883038;FFF;2014J;subpage;0;0
883252;FFF;2014J;url;28;28
882662;FFF;2014J;oucontent;8;8
883283;FFF;2014J;url;0;0
882701;FFF;2014J;page;0;0
883152;FFF;2014J;oucollaborate;0;0
882549;FFF;2014J;forumng;0;0
882907;FFF;2014J;resource;21;21
883184;FFF;2014J;url;18;18
882586;FFF;2014J;oucontent;28;28
882970;FFF;2014J;resource;0;0
883216;FFF;2014J;url;21;21
882623;FFF;2014J;oucontent;0;0
883029;FFF;2014J;resource;0;0
883249;FFF;2014J;url;28;28
882659;FFF;2014J;oucontent;11;11
883070;FFF;2014J;subpage;0;0
883280;FFF;2014J;url;13;13
882688;FFF;2014J;page;28;28
883149;FFF;2014J;oucollaborate;0;0
882537;FFF;2014J;homepage;0;0
882903;FFF;2014J;resource;0;0
883181;FFF;2014J;url;18;18
882582;FFF;2014J;oucontent;16;16
882959;FFF;2014J;resource;0;0
883213;FFF;2014J;url;21;21
882620;FFF;2014J;oucontent;24;24
883025;FFF;2014J;resource;13;13
883246;FFF;2014J;url;28;28
882656;FFF;2014J;oucontent;11;11
883067;FFF;2014J;subpage;0;0
882685;FFF;2014J;page;19;19
883145;FFF;2014J;htmlactivity;0;0
1072240;FFF;2014J;oucollaborate;0;0
882899;FFF;2014J;resource;0;0
883178;FFF;2014J;url;18;18
882579;FFF;2014J;oucontent;27;27
882953;FFF;2014J;resource;18;18
883210;FFF;2014J;url;21;21
882617;FFF;2014J;oucontent;0;0
883018;FFF;2014J;resource;0;0
883243;FFF;2014J;url;27;27
882653;FFF;2014J;oucontent;0;0
883064;FFF;2014J;subpage;0;0
883277;FFF;2014J;url;12;12
882682;FFF;2014J;quiz;0;0
883142;FFF;2014J;htmlactivity;0;0
1004809;FFF;2014J;questionnaire;0;0
882892;FFF;2014J;resource;0;0
883175;FFF;2014J;url;1;1
882575;FFF;2014J;oucontent;22;22
882949;FFF;2014J;resource;0;0
883207;FFF;2014J;url;21;21
882610;FFF;2014J;oucontent;8;8
883002;FFF;2014J;resource;0;0
883240;FFF;2014J;url;26;26
882650;FFF;2014J;oucontent;11;11
883061;FFF;2014J;subpage;0;0
883274;FFF;2014J;url;0;0
882679;FFF;2014J;quiz;0;0
883092;FFF;2014J;subpage;0;0
937372;FFF;2014J;url;0;0
882722;FFF;2014J;questionnaire;5;5
883172;FFF;2014J;url;18;18
882571;FFF;2014J;oucontent;26;26
882946;FFF;2014J;resource;29;29
883204;FFF;2014J;url;21;21
882607;FFF;2014J;oucontent;0;0
882996;FFF;2014J;resource;0;0
883237;FFF;2014J;url;24;24
882647;FFF;2014J;oucontent;9;9
883058;FFF;2014J;subpage;26;26
883271;FFF;2014J;url;0;0
882676;FFF;2014J;quiz;0;0
883089;FFF;2014J;subpage;7;7
883304;FFF;2014J;dataplus;0;0
882719;FFF;2014J;questionnaire;28;28
883169;FFF;2014J;url;18;18
882567;FFF;2014J;oucontent;27;27
882942;FFF;2014J;resource;15;15
883201;FFF;2014J;url;20;20
882603;FFF;2014J;oucontent;16;16
882992;FFF;2014J;resource;18;18
883234;FFF;2014J;url;23;23
882644;FFF;2014J;oucontent;0;0
883055;FFF;2014J;subpage;0;0
883268;FFF;2014J;url;10;10
883085;FFF;2014J;subpage;15;15
883301;FFF;2014J;dataplus;0;0
882716;FFF;2014J;questionnaire;24;24
883166;FFF;2014J;url;14;14
882564;FFF;2014J;oucontent;10;10
882937;FFF;2014J;resource;0;0
883198;FFF;2014J;url;20;20
882600;FFF;2014J;oucontent;14;14
882988;FFF;2014J;resource;0;0
883231;FFF;2014J;url;23;23
882639;FFF;2014J;oucontent;0;0
883051;FFF;2014J;subpage;0;0
883264;FFF;2014J;url;29;29
882673;FFF;2014J;quiz;0;0
