id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,code_student,date_registration,date_unregistration
236090,F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,180,N,Fail,106,-137.0,
237891,M,Scotland,A Level or Equivalent,50-60%,0-35,1,120,N,Pass,107,-37.0,
238301,M,North Western Region,Lower Than A Level,oct-20,0-35,0,240,N,Withdrawn,108,-70.0,-1.0
242636,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,120,N,Fail,109,-109.0,
249357,M,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass,110,11.0,
251166,M,South West Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,111,-95.0,
251397,M,London Region,HE Qualification,20-30%,35-55,0,120,N,Withdrawn,112,-79.0,-18.0
251916,M,South Region,Lower Than A Level,30-40%,0-35,0,120,N,Withdrawn,113,-56.0,23.0
253633,M,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,114,-37.0,
253763,M,Wales,A Level or Equivalent,20-30%,35-55,0,90,N,Distinction,115,-23.0,
258245,F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,Y,Pass,116,-120.0,
258509,M,Scotland,HE Qualification,90-100%,0-35,0,90,N,Pass,117,-37.0,
258978,F,South Region,A Level or Equivalent,20-30%,0-35,1,60,N,Pass,118,-115.0,
260275,M,West Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Withdrawn,119,-15.0,10.0
261863,M,Scotland,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn,120,-107.0,192.0
262025,F,Scotland,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,121,-79.0,
262332,M,East Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn,122,-110.0,-39.0
262394,M,South Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,123,-148.0,
263143,F,North Western Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,124,-124.0,-85.0
263862,M,West Midlands Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,125,-37.0,
264589,M,Scotland,A Level or Equivalent,50-60%,0-35,4,60,N,Fail,126,-66.0,
265497,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,127,-30.0,
268727,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Withdrawn,128,-110.0,-108.0
268823,M,Wales,No Formal quals,oct-20,0-35,0,60,N,Fail,129,-31.0,
269584,M,Scotland,A Level or Equivalent,40-50%,35-55,0,90,N,Pass,130,-36.0,
270421,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,2,90,N,Pass,131,-28.0,
271702,M,West Midlands Region,Lower Than A Level,20-30%,0-35,2,120,N,Withdrawn,132,-144.0,-10.0
272704,M,East Midlands Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,133,-148.0,13.0
275127,M,Wales,A Level or Equivalent,80-90%,0-35,0,120,N,Withdrawn,134,-15.0,
276265,M,Scotland,A Level or Equivalent,80-90%,0-35,2,60,Y,Pass,135,-15.0,
276337,M,South Region,Lower Than A Level,90-100%,0-35,1,120,Y,Withdrawn,136,-128.0,128.0
277384,M,London Region,Lower Than A Level,30-40%,0-35,0,120,N,Withdrawn,137,-122.0,12.0
278380,M,North Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,138,-70.0,
279440,F,Scotland,HE Qualification,0-10%,0-35,0,60,N,Pass,139,-29.0,
279653,F,South Region,HE Qualification,90-100%,35-55,0,120,N,Distinction,140,-102.0,
279883,M,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,180,N,Withdrawn,141,-25.0,12.0
281134,F,Scotland,A Level or Equivalent,20-30%,0-35,0,90,N,Pass,142,-28.0,
281970,F,South East Region,Lower Than A Level,oct-20,0-35,0,120,N,Withdrawn,143,-100.0,12.0
282849,M,North Western Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,144,-15.0,
283402,M,London Region,HE Qualification,30-40%,0-35,0,60,N,Pass,145,-11.0,
286778,F,Wales,A Level or Equivalent,40-50%,0-35,0,60,N,Distinction,146,-14.0,
287079,M,London Region,HE Qualification,40-50%,35-55,2,60,N,Fail,147,-44.0,
287258,M,Scotland,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,148,-136.0,
287715,M,East Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn,149,-72.0,12.0
289179,M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,150,-50.0,12.0
289247,M,South Region,HE Qualification,80-90%,0-35,0,90,N,Distinction,151,-25.0,
289618,M,Wales,A Level or Equivalent,90-100%,35-55,1,60,N,Withdrawn,152,-30.0,31.0
289676,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,1,60,N,Fail,153,-96.0,
294112,M,Scotland,A Level or Equivalent,40-50%,0-35,0,150,N,Fail,154,-28.0,
294219,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Distinction,155,-45.0,
294920,M,Scotland,Post Graduate Qualification,20-30%,35-55,0,60,N,Withdrawn,156,-93.0,93.0
294929,M,North Western Region,A Level or Equivalent,50-60%,35-55,0,90,N,Pass,157,-148.0,
295893,M,East Midlands Region,A Level or Equivalent,oct-20,0-35,0,60,Y,Fail,158,-43.0,
297218,M,Yorkshire Region,A Level or Equivalent,60-70%,0-35,0,210,N,Pass,159,-9.0,
297341,F,East Midlands Region,A Level or Equivalent,oct-20,0-35,0,120,Y,Pass,160,-22.0,
300848,M,East Midlands Region,Lower Than A Level,oct-20,0-35,0,240,N,Withdrawn,161,-128.0,-29.0
301074,M,South Region,Lower Than A Level,20-30%,0-35,1,120,N,Pass,162,-120.0,
301561,M,South West Region,Lower Than A Level,30-40%,0-35,1,60,N,Withdrawn,163,-52.0,159.0
305064,M,South Region,Lower Than A Level,20-30%,0-35,0,180,N,Pass,164,-86.0,
305659,M,South East Region,A Level or Equivalent,80-90%,0-35,0,90,N,Distinction,165,-28.0,
310205,M,South West Region,Lower Than A Level,40-50%,0-35,1,60,N,Fail,166,-79.0,
312126,M,East Anglian Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn,167,-22.0,12.0
312231,M,East Midlands Region,HE Qualification,30-40%,0-35,0,60,N,Pass,168,-81.0,
312960,M,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,Pass,169,-72.0,
315795,M,South Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,170,-10.0,
316061,M,North Western Region,Lower Than A Level,0-10%,0-35,2,60,Y,Withdrawn,171,-15.0,12.0
316082,M,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Distinction,172,-68.0,
318139,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,120,N,Withdrawn,173,-68.0,79.0
318147,M,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,174,-64.0,
318289,M,Scotland,A Level or Equivalent,20-30%,0-35,2,60,Y,Withdrawn,175,-35.0,-21.0
319073,F,Ireland,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,176,-22.0,
319461,M,West Midlands Region,Lower Than A Level,oct-20,35-55,0,90,N,Withdrawn,177,-46.0,5.0
320133,F,South Region,A Level or Equivalent,oct-20,0-35,0,90,N,Distinction,178,-25.0,
320612,M,East Midlands Region,HE Qualification,80-90%,35-55,0,60,N,Distinction,179,-25.0,
322499,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Withdrawn,180,-32.0,234.0
324331,M,North Western Region,Lower Than A Level,70-80%,35-55,1,60,N,Fail,181,-32.0,
325750,M,Scotland,HE Qualification,oct-20,35-55,2,120,N,Pass,182,-88.0,
327664,F,South East Region,Lower Than A Level,60-70%,0-35,1,120,N,Withdrawn,183,-66.0,12.0
328377,M,West Midlands Region,A Level or Equivalent,60-70%,35-55,1,120,N,Withdrawn,184,-106.0,17.0
328797,M,Scotland,HE Qualification,70-80%,35-55,1,60,N,Fail,185,-42.0,
329095,M,Ireland,Lower Than A Level,30-40%,0-35,0,60,N,Withdrawn,186,-37.0,158.0
329895,M,East Anglian Region,A Level or Equivalent,50-60%,35-55,3,60,N,Pass,187,-21.0,
331789,M,South East Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,188,-108.0,
332237,M,South Region,HE Qualification,90-100%,0-35,1,60,N,Fail,189,-34.0,
332676,M,East Anglian Region,Lower Than A Level,50-60%,0-35,1,60,Y,Withdrawn,190,-44.0,10.0
333993,M,North Western Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,191,-106.0,
334224,M,North Western Region,Lower Than A Level,0-10%,0-35,2,60,Y,Withdrawn,192,-59.0,145.0
335095,M,South West Region,A Level or Equivalent,80-90%,0-35,1,120,N,Pass,193,-103.0,
337000,M,South West Region,Lower Than A Level,oct-20,35-55,0,60,N,Pass,194,-22.0,
338689,M,West Midlands Region,HE Qualification,0-10%,0-35,0,150,N,Pass,195,-66.0,
338806,M,North Region,Lower Than A Level,70-80%,0-35,3,120,N,Pass,196,-23.0,
339519,M,South East Region,Lower Than A Level,40-50%,0-35,0,120,N,Pass,197,-32.0,
340831,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,120,N,Withdrawn,198,-29.0,69.0
341093,M,South West Region,A Level or Equivalent,oct-20,0-35,2,120,N,Fail,199,-93.0,
341457,F,Scotland,HE Qualification,0-10%,0-35,0,60,N,Withdrawn,200,-144.0,135.0
341629,M,Wales,HE Qualification,oct-20,0-35,0,150,N,Fail,201,-21.0,
343709,M,North Western Region,Lower Than A Level,oct-20,0-35,0,60,N,Pass,202,-36.0,
345271,M,North Region,A Level or Equivalent,30-40%,35-55,1,60,N,Distinction,203,-109.0,
347197,M,North Western Region,Lower Than A Level,80-90%,35-55,0,60,N,Distinction,204,-49.0,
348108,M,Scotland,A Level or Equivalent,50-60%,0-35,1,120,N,Pass,205,-56.0,
348324,M,South West Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass,206,-50.0,
348906,M,Scotland,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn,207,-67.0,32.0
349515,M,South Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,208,-53.0,
349777,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,90,N,Withdrawn,209,-68.0,51.0
351147,M,Scotland,HE Qualification,40-50%,0-35,0,60,N,Pass,210,-79.0,
351293,M,Wales,A Level or Equivalent,oct-20,0-35,2,60,N,Withdrawn,211,-114.0,-5.0
354698,M,North Region,Lower Than A Level,,35-55,2,90,N,Pass,212,-17.0,
354713,M,North Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,213,-14.0,
355293,M,East Midlands Region,Lower Than A Level,30-40%,0-35,2,60,N,Pass,214,-123.0,
357851,M,East Anglian Region,Lower Than A Level,50-60%,0-35,2,120,Y,Fail,215,110.0,
360278,M,East Midlands Region,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn,216,-88.0,16.0
360752,M,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,Withdrawn,217,-38.0,-2.0
364066,M,London Region,Lower Than A Level,30-40%,0-35,2,150,N,Distinction,218,-142.0,
366140,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,219,-94.0,
367151,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,220,-120.0,191.0
368389,M,North Western Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn,221,-155.0,-155.0
369242,M,South East Region,A Level or Equivalent,40-50%,0-35,0,150,N,Pass,222,-72.0,
369450,M,South East Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,223,-144.0,
369644,F,Yorkshire Region,Lower Than A Level,oct-20,0-35,0,150,N,Withdrawn,224,-16.0,67.0
370735,M,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,225,-67.0,
372345,M,South West Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,226,-59.0,
372509,M,South Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,227,-17.0,
372511,M,North Region,HE Qualification,,0-35,0,150,N,Pass,228,-1.0,
374353,F,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,150,N,Withdrawn,229,-67.0,81.0
375527,M,South Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,230,-25.0,
375993,F,East Midlands Region,Lower Than A Level,30-40%,0-35,1,60,N,Withdrawn,231,-155.0,12.0
378705,M,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,60,N,Fail,232,-31.0,
378946,M,South East Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,233,-94.0,
379278,M,Scotland,HE Qualification,40-50%,0-35,0,60,N,Fail,234,-94.0,
379311,M,South East Region,Lower Than A Level,80-90%,0-35,1,120,N,Fail,235,-108.0,
379563,M,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,236,-17.0,52.0
380952,F,South East Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,237,-5.0,
381257,F,Scotland,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,238,-22.0,
381414,M,South East Region,Lower Than A Level,60-70%,35-55,2,60,N,Pass,239,-34.0,
381428,M,West Midlands Region,Lower Than A Level,oct-20,0-35,0,120,Y,Withdrawn,240,-102.0,87.0
381528,F,London Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn,241,-25.0,12.0
381529,M,South West Region,A Level or Equivalent,oct-20,0-35,0,60,N,Withdrawn,242,-115.0,74.0
383445,M,North Western Region,A Level or Equivalent,0-10%,0-35,0,60,Y,Fail,243,-29.0,
383602,F,South Region,Lower Than A Level,80-90%,0-35,0,120,N,Pass,244,-102.0,
383629,M,West Midlands Region,Lower Than A Level,70-80%,0-35,2,60,N,Pass,245,-67.0,
384107,M,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail,246,-35.0,
384331,M,South Region,A Level or Equivalent,70-80%,35-55,0,60,N,Withdrawn,247,-81.0,10.0
386121,M,London Region,Lower Than A Level,0-10%,0-35,0,180,N,Withdrawn,248,-46.0,37.0
386389,M,North Region,Lower Than A Level,oct-20,35-55,1,120,N,Pass,249,-143.0,
386956,F,Wales,Lower Than A Level,oct-20,35-55,1,60,Y,Withdrawn,250,-31.0,109.0
389853,M,North Western Region,A Level or Equivalent,70-80%,0-35,1,60,N,Withdrawn,251,-46.0,195.0
390070,M,North Region,A Level or Equivalent,30-40%,35-55,0,60,N,Fail,252,-21.0,
393141,M,East Midlands Region,Lower Than A Level,40-50%,0-35,0,90,Y,Fail,253,-115.0,
395758,M,North Region,HE Qualification,oct-20,0-35,1,60,N,Withdrawn,254,-67.0,62.0
396136,M,East Midlands Region,Lower Than A Level,0-10%,0-35,0,120,N,Withdrawn,255,-130.0,12.0
396683,M,Scotland,HE Qualification,20-30%,0-35,0,120,N,Pass,256,-28.0,
396834,M,South East Region,A Level or Equivalent,50-60%,0-35,0,240,N,Pass,257,-15.0,
396907,M,London Region,Lower Than A Level,70-80%,0-35,1,60,N,Fail,258,-18.0,
397219,M,Scotland,HE Qualification,20-30%,0-35,0,60,N,Distinction,259,-70.0,
397292,F,North Western Region,Lower Than A Level,0-10%,0-35,1,60,N,Fail,260,-108.0,
397671,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,90,N,Distinction,261,-100.0,
398550,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,2,90,N,Distinction,262,-155.0,
398630,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,263,-88.0,
399429,F,East Midlands Region,A Level or Equivalent,60-70%,0-35,1,60,N,Distinction,264,-64.0,
402695,M,East Midlands Region,Lower Than A Level,40-50%,35-55,2,90,N,Pass,265,-123.0,
405193,F,East Midlands Region,A Level or Equivalent,80-90%,35-55,1,60,N,Pass,266,-108.0,
407232,M,Ireland,A Level or Equivalent,30-40%,0-35,0,180,N,Pass,267,-46.0,
408499,F,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,120,Y,Withdrawn,268,-31.0,94.0
408872,M,Wales,Lower Than A Level,oct-20,0-35,0,60,Y,Withdrawn,269,-140.0,12.0
410407,M,South Region,HE Qualification,90-100%,35-55,0,60,N,Distinction,270,-60.0,
410883,M,South West Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,271,-94.0,
411304,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,272,-115.0,
411688,M,London Region,A Level or Equivalent,80-90%,0-35,2,60,N,Fail,273,-18.0,
412353,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,60,N,Pass,274,-29.0,
413180,M,London Region,A Level or Equivalent,60-70%,0-35,1,120,N,Pass,275,-156.0,
413709,M,Ireland,A Level or Equivalent,80-90%,0-35,2,120,N,Pass,276,-52.0,
413949,F,Scotland,Lower Than A Level,oct-20,0-35,0,60,Y,Pass,277,-67.0,
416199,M,West Midlands Region,Lower Than A Level,oct-20,0-35,1,60,N,Pass,278,-81.0,
416407,M,North Region,Lower Than A Level,,35-55,1,60,N,Pass,279,-43.0,
416426,M,East Anglian Region,HE Qualification,oct-20,0-35,1,90,N,Withdrawn,280,-130.0,-95.0
418201,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,281,-18.0,
418486,M,London Region,Lower Than A Level,oct-20,0-35,2,240,N,Withdrawn,282,-35.0,9.0
